timestamp,sku,field,source_value,mapped_value,target,reason
2026-08-19 01:37:44,PPXQ10024E,name,Profuomo navy antique dye loose fit broek,Profuomo navy antique dye loose fit broek,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2026-08-19 01:37:47,PPXQ10021B,sustainability,European fabric | Elastane | Guaranteed fixed buttons | Cotton linen blend,,option:data-title;dutch,missing translation mapping
2026-08-19 01:37:50,PPXQ10021B,name,Profuomo navy linnen katoen loose fit broek,Profuomo navy linnen katoen loose fit broek,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2026-08-19 01:37:52,PPXP10001A,sustainability,Guaranteed fixed buttons | Italian fabric,,option:data-title;dutch,missing translation mapping
2026-08-19 01:37:55,PPXP10001A,name,Profuomo navy hopsack colbert,Profuomo navy hopsack colbert,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2026-08-19 01:38:01,PPXH30017B,name,Profuomo,Profuomo,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2026-08-19 01:38:07,PPXJ30027A,name,Profuomo navy merino rollneck,Profuomo navy merino rollneck,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2026-08-19 01:38:12,PPXH30032C,name,Profuomo bruin corduroy overhemd,Profuomo bruin corduroy overhemd,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2026-08-19 01:38:14,PPXJ30036A,fabriccomp,58% Cotton / 24% Modal / 10% Polyamide / 5% Wool / 3% Elastane,,option:data-title;dutch,missing translation mapping
2026-08-19 01:38:15,PPXJ30036A,sustainability,Guaranteed fixed buttons,,option:data-title;dutch,missing translation mapping
2026-08-19 01:38:18,PPXJ30036A,name,Profuomo grey polo collar,Profuomo grey polo collar,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2026-08-19 01:38:25,PPXJ30052B,name,Profuomo bruine soft wollen crewneck,Profuomo bruine soft wollen crewneck,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2026-08-19 01:38:31,PPXJ30058G,name,Profuomo beige heavy wollen half zip,Profuomo beige heavy wollen half zip,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
2026-08-19 01:38:36,PPXJ10004D,name,Profuomo navy crewneck,Profuomo navy crewneck,"('name', 'product[name]')","RateLimitError: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}"
